brand_name,models_count,rating
apple,44,76.79545454545455
cola,1,74.0
tcl,1,60.0
motorola,48,80.10416666666667
micromax,3,64.66666666666667
blu,1,85.0
tesla,1,83.0
zte,2,85.5
sharp,1,88.0
oppo,82,78.73170731707317
vertu,1,62.0
nothing,5,85.2
nokia,10,75.3
letv,1,60.0
sony,7,81.42857142857143
lg,2,87.0
leitz,1,89.0
leeco,1,65.0
samsung,116,78.72413793103448
vivo,96,77.15625
poco,40,78.7
jio,1,64.0
oukitel,3,79.33333333333333
lyf,1,60.0
blackview,1,67.0
infinix,28,76.28571428571429
asus,6,87.0
oneplus,38,82.23684210526316
iqoo,32,82.21875
huawei,11,80.0
lenovo,2,88.0
gionee,1,67.0
nubia,6,84.33333333333333
ikall,3,60.666666666666664
doogee,2,86.0
honor,11,78.18181818181819
royole,2,87.0
redmi,3,77.33333333333333
realme,92,76.44565217391305
tecno,31,73.6774193548387
itel,1,61.0
xiaomi,125,78.776
google,12,77.33333333333333
lava,3,74.33333333333333
